"","x"
"responseID","Response ID"
"IP","IP"
"ts","Timestamp"
"timeTaken","Time Taken"
"Seq.Number","Seq.Number"
"external_reference","External Reference"
"c1","Custom 1"
"c2","Custom 2"
"c3","Custom 3"
"c4","Custom 4"
"c5","Custom 5"
"email","Respondent Email"
"CountryCode","Country Code"
"Region","Region"
"language","language"
"responseStatus","Response Status"
"country","Country"
"longitude","Longitude"
"latitude","Latitude"
"radius","Radius"
"browser","Browser"
"device","Device"
"operating_system","Operation System"
"Q1","Captcha - Please confirm you're not a robot"
"Q2","Intro - Introduction"
"Q3","Intro1 - Dear study participant,You are invited to participate in a research study conducted by David Doret in collabora"
"Q4","Opt - Subscription to receive survey results"
"Q5","Email - Conditional: if you would like to receive our survey and research results, you may opt-in by leaving us your ema"
"Q6","Def - Key Terms & Definitions"
"Q7","Def1 - In the context of this survey, the following key definitions are used:Performance: The degree to which an organiz"
"Q8","PartDemo - Participant Demographics"
"Q9","Country - What is your main country of residence?"
"Q10A1","Role-What is (or are) your current role(s) or position(s)? - CEO"
"Q10A2","Role-What is (or are) your current role(s) or position(s)? - CFO"
"Q10A3","Role-What is (or are) your current role(s) or position(s)? - COO"
"Q10A4","Role-What is (or are) your current role(s) or position(s)? - CIO"
"Q10A5","Role-What is (or are) your current role(s) or position(s)? - CISO"
"Q10A6","Role-What is (or are) your current role(s) or position(s)? - IAM Manager"
"Q10A7","Role-What is (or are) your current role(s) or position(s)? - IAM Architect"
"Q10A8","Role-What is (or are) your current role(s) or position(s)? - IAM Consultant / Expert"
"Q10A9","Role-What is (or are) your current role(s) or position(s)? - IAM Technical Specialist"
"Q10A10","Role-What is (or are) your current role(s) or position(s)? - IAM Software Developer"
"Q10A11","Role-What is (or are) your current role(s) or position(s)? - IAM Training Instructor"
"Q10A12","Role-What is (or are) your current role(s) or position(s)? - Auditor / Controller"
"Q10A13","Role-What is (or are) your current role(s) or position(s)? - Risk Manager"
"Q10A14","Role-What is (or are) your current role(s) or position(s)? - Unemployed"
"Q10A15","Role-What is (or are) your current role(s) or position(s)? - Retired"
"Q10A16","Role-What is (or are) your current role(s) or position(s)? - Security Specialist / Engineer"
"Q10A17","Role-What is (or are) your current role(s) or position(s)? - IT Specialist / Engineer"
"Q10A18","Role-What is (or are) your current role(s) or position(s)? - Other"
"Q10A19","Role-What is (or are) your current role(s) or position(s)? - I dont know"
"Q10_O","What is (or are) your current role(s) or position(s)? - Other"
"Q11R1","Experience - Workforce IAM"
"Q11R2","Experience - 3rd Party IAM"
"Q11R3","Experience - Customer IAM"
"Q11R4","Experience - IoT IAM"
"Q11R5","Experience - PAM / TAM"
"Q11R6","Experience - Audit"
"Q11R7","Experience - Management"
"Q11R8","Experience - IT"
"Q11R9","Experience - Advisory / Consultancy Services"
"Q11R10","Experience - Cybersecurity"
"Q11R11","Experience - Risk Management"
"Q12","OrgDemo - Organization Demographics"
"Q13A1","OrgRole-In relation to the IAM field, what is the role of your current organization? - Final organization"
"Q13A2","OrgRole-In relation to the IAM field, what is the role of your current organization? - Auditor"
"Q13A3","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM advisory services provider"
"Q13A4","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM cloud service provider"
"Q13A5","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM product reseller"
"Q13A6","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM software development"
"Q13A7","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM solution vendor"
"Q13A8","OrgRole-In relation to the IAM field, what is the role of your current organization? - IAM training service provider"
"Q13A9","OrgRole-In relation to the IAM field, what is the role of your current organization? - Other"
"Q13A10","OrgRole-In relation to the IAM field, what is the role of your current organization? - I dont know"
"Q13_O","In relation to the IAM field, what is the role of your current organization? - Other"
"Q14","OrgTarget - This survey is primarily interested in how organizations measure the performance of their own IAM processes."
"Q14_O","This survey is primarily interested in how organizations measure the performance of their own IAM processes. Please choo"
"Q15","LastWorked - When did you last work for that organization?"
"Q16","YourOrgInfo - In the remaining questions of this survey, please only consider the organization you chose above whenever"
"Q17A1","Sectors-What is / are the main sector(s) where your organization is active? - Advisory / Consultancy Services"
"Q17A2","Sectors-What is / are the main sector(s) where your organization is active? - Agriculture, Forestry, Fishing and Hunting"
"Q17A3","Sectors-What is / are the main sector(s) where your organization is active? - Arts, Entertainment, and Recreation"
"Q17A4","Sectors-What is / are the main sector(s) where your organization is active? - Audit"
"Q17A5","Sectors-What is / are the main sector(s) where your organization is active? - Cloud Services"
"Q17A6","Sectors-What is / are the main sector(s) where your organization is active? - Computer and Electronics Manufacturing"
"Q17A7","Sectors-What is / are the main sector(s) where your organization is active? - Education"
"Q17A8","Sectors-What is / are the main sector(s) where your organization is active? - Insurance"
"Q17A9","Sectors-What is / are the main sector(s) where your organization is active? - Government and Public Administration"
"Q17A10","Sectors-What is / are the main sector(s) where your organization is active? - Health Care and Social Assistance"
"Q17A11","Sectors-What is / are the main sector(s) where your organization is active? - Hotel and Food Services"
"Q17A12","Sectors-What is / are the main sector(s) where your organization is active? - IT Services"
"Q17A13","Sectors-What is / are the main sector(s) where your organization is active? - Legal Services"
"Q17A14","Sectors-What is / are the main sector(s) where your organization is active? - Marketing & Social Media"
"Q17A15","Sectors-What is / are the main sector(s) where your organization is active? - Media & Digital Media"
"Q17A16","Sectors-What is / are the main sector(s) where your organization is active? - Military"
"Q17A17","Sectors-What is / are the main sector(s) where your organization is active? - Software"
"Q17A18","Sectors-What is / are the main sector(s) where your organization is active? - Telecommunications"
"Q17A19","Sectors-What is / are the main sector(s) where your organization is active? - Transportation and Warehousing"
"Q17A20","Sectors-What is / are the main sector(s) where your organization is active? - Utilities (e.g. Energy, Transport, ...)"
"Q17A21","Sectors-What is / are the main sector(s) where your organization is active? - Not-for-Profit / NGO"
"Q17A22","Sectors-What is / are the main sector(s) where your organization is active? - Financial Services"
"Q17A23","Sectors-What is / are the main sector(s) where your organization is active? - International Organization"
"Q17A24","Sectors-What is / are the main sector(s) where your organization is active? - Other"
"Q17A25","Sectors-What is / are the main sector(s) where your organization is active? - I dont know"
"Q17_O","What is / are the main sector(s) where your organization is active? - Other"
"Q18","OrgSize - What is the size of your organization?"
"Q19","Setup - IAM organizational setup"
"Q20R1","Dedicated - IAM (in general)"
"Q20R2","Dedicated - Workforce IAM"
"Q20R3","Dedicated - 3rd Party IAM"
"Q20R4","Dedicated - Customer IAM"
"Q20R5","Dedicated - IoT IAM"
"Q20R6","Dedicated - PAM / TAM"
"Q21R1","IAMModel - IAM (in general)"
"Q21R2","IAMModel - Workforce IAM"
"Q21R3","IAMModel - 3rd Party IAM"
"Q21R4","IAMModel - Customer IAM"
"Q21R5","IAMModel - IoT IAM"
"Q21R6","IAMModel - PAM/TAM"
"Q22A1","ReportLine-To whom reports the IAM manager in your organization? - CFO"
"Q22A2","ReportLine-To whom reports the IAM manager in your organization? - CISO"
"Q22A3","ReportLine-To whom reports the IAM manager in your organization? - CIO"
"Q22A4","ReportLine-To whom reports the IAM manager in your organization? - COO"
"Q22A5","ReportLine-To whom reports the IAM manager in your organization? - CEO"
"Q22A6","ReportLine-To whom reports the IAM manager in your organization? - Other"
"Q22A7","ReportLine-To whom reports the IAM manager in your organization? - I dont know"
"Q22_O","To whom reports the IAM manager in your organization? - Other"
"Q23R1","Goals - Assure compliance"
"Q23R2","Goals - Protect from cyber threats"
"Q23R3","Goals - Enable new business opportunities"
"Q23R4","Goals - Enhance business agility"
"Q23R5","Goals - Improve productivity"
"Q23R6","Goals - Reduce costs"
"Q23R7","Goals - Accelerate the digital transformation"
"Q23R8","Goals - Strengthen trust with third parties"
"Q23R9","Goals - Enable the workforce to become global"
"Q23R10","Goals - Improve customer experience"
"Q23R11","Goals - Improve workforce experience"
"Q24R1","Maturity - IAM (general answer)"
"Q24R2","Maturity - Workforce IAM"
"Q24R3","Maturity - 3rd Party IAM"
"Q24R4","Maturity - Customer IAM"
"Q24R5","Maturity - IoT IAM"
"Q24R6","Maturity - PAM / TAM"
"Q25","Perf - IAM performance measurement"
"Q26A1","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I decide what indicat"
"Q26A2","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I design indicators"
"Q26A3","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I collect, clean and"
"Q26A4","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I report indicators"
"Q26A5","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - I analyse or use indi"
"Q26A6","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - Other"
"Q26A7","IndRole-What role(s) do you play in relation to IAM performance indicators in your organization? - Not applicable or I d"
"Q26_O","What role(s) do you play in relation to IAM performance indicators in your organization? - Other"
"Q27R1","IndDesign - They genuinely reflect performance"
"Q27R2","IndDesign - They are clearly defined"
"Q27R3","IndDesign - They are objective"
"Q27R4","IndDesign - They are actionable"
"Q27R5","IndDesign - They are focused on long-term improvement"
"Q27R6","IndDesign - They are aligned with the organization strategic goals"
"Q27R7","IndDesign - They provide valuable insights that help top management lead the IAM strategy"
"Q27R8","IndDesign - They provide valuable insights that help IAM management supervise the IAM operational processes"
"Q27R9","IndDesign - They provide valuable insights that help IAM process workers manage their daily work"
"Q28R1","IndFrame - Every indicator has an owner"
"Q28R2","IndFrame - The data collection procedure is documented"
"Q28R3","IndFrame - The computation methods or formula are documented"
"Q28R4","IndFrame - Guidelines are provided to help stakeholders interpret indicators"
"Q28R5","IndFrame - Indicator limitations or imprecision are transparently disclosed"
"Q28R6","IndFrame - Every reported number may be traced back to its data source"
"Q29R1","IndComm - Guidelines are provided to help stakeholders understand and interpret indicators"
"Q29R2","IndComm - Indicators are made largely available to all stakeholders within the organization"
"Q29R3","IndComm - Indicators are well known and understood by top management"
"Q29R4","IndComm - Indicators are well known and understood by IAM management"
"Q29R5","IndComm - Indicators are well known and understood by IAM process workers"
"Q30","Auto - What is the degree of automation of data collection, computation and reporting of IAM performance indicators in y"
"Q31R1","Dims - IAM processes throughput (e.g. volumes of items processed per period of time)"
"Q31R2","Dims - IAM processes speed or compliance with SLA requirements"
"Q31R3","Dims - IAM direct costs"
"Q31R4","Dims - IAM total costs (e.g. TCO)"
"Q31R5","Dims - Compliance with IAM policy requirements"
"Q31R6","Dims - IAM related security incidents / data breaches"
"Q31R7","Dims - Organization productivity (e.g. staff on-boarding efficiency)"
"Q31R8","Dims - IAM users / clients satisfaction"
"Q31R9","Dims - Scope of IAM technological deployments (e.g. SSO, MFA, etc.)"
"Q31R10","Dims - Residual IAM risk level (e.g. consolidated from risk management)"
"Q32","LeadLag - In your organization, how are your IAM performance indicators balanced between leading and lagging indicators?"
"Q33R1","Top3 - Please describe the top 3 most valuable IAM performance indicators you have encountered in your career.Indicator"
"Q33R2","Top3 - Indicator 2"
"Q33R3","Top3 - Indicator 3"
"Q34","Negative - Have you observed counter-productive or negative effects related to the usage of IAM performance indicators i"
"Q35","IndNumber - How many IAM performance indicators does your organization actively uses? You may provide an estimate. "
"Q36","Difficulty - What barriers or difficulties have you encountered when designing, deploying, reporting and managing IAM pe"
"Q37","Advise - What would be your key advises to someone who would initiate an IAM performance measurement program?"
"Q38","Bench1 - Did your organization benchmarked its IAM performance with peer organizations?"
"Q39","Standard - Do you believe your organization would benefit from using standardized IAM performance indicators?"
"Q40","Bench2 - Do you believe your organization would benefit from benchmarking its IAM performance with peer organizations?"
"Q41","Else - Would you like to share with us anything else you feel that is of importance in relation to IAM performance measu"
